Name,Group,Times,Language,Hours
Introduction to patrimonial law,70,[Fri: 12:30-14:00, Wed: 10:45-12:15],English,6
Introduction to patrimonial law,71,[Fri: 09:00-10:30, Wed: 10:45-12:15],English,6
Introduction to patrimonial law,72,[Fri: 10:45-12:15, Wed: 10:45-12:15],English,6
Introduction to patrimonial law,73,[Fri: 18:00-19:30, Wed: 18:00-19:30],English,6
Introduction to patrimonial law,74,[Fri: 19:45-21:15, Wed: 18:00-19:30],English,6
Principles of Economics,70,[Fri: 10:45-12:15, Wed: 12:30-14:00],English,6
Principles of Economics,71,[Fri: 12:30-14:00, Wed: 12:30-14:00],English,6
Principles of Economics,72,[Fri: 09:00-10:30, Wed: 12:30-14:00],English,6
Principles of Economics,73,[Fri: 19:45-21:15, Wed: 16:15-17:45],English,6
Principles of Economics,74,[Fri: 18:00-19:30, Wed: 16:15-17:45],English,6
Introduction to business administration,70,[Fri: 09:00-10:30, Wed: 09:00-10:30],English,6
Introduction to business administration,71,[Fri: 10:45-12:15, Wed: 09:00-10:30],English,6
Introduction to business administration,72,[Fri: 12:30-14:00, Wed: 09:00-10:30],English,6
Introduction to business administration,73,[Fri: 16:15-17:45, Wed: 19:45-21:15],English,6
Introduction to business administration,74,[Fri: 16:15-17:45, Wed: 19:45-21:15],English,6
Introduction to business administration,58,[Fri: 18:00-19:30, Wed: 19:45-21:15],English,6
Economic History,44,[Fri: 10:45-12:15, Thu: 14:30-16:00],English,6
Macroeconomics,70,[Fri: 18:00-19:30, Wed: 18:00-19:30],English,6
Macroeconomics,71,[Fri: 18:00-19:30, Wed: 16:15-17:45],English,6
Macroeconomics,72,[Fri: 10:45-12:15, Wed: 12:30-14:00],English,6
Macroeconomics,73,[Fri: 10:45-12:15, Wed: 09:00-10:30],English,6
Macroeconomics,74,[Fri: 10:45-12:15, Wed: 10:45-12:15],English,6
Statistics II,70,[Fri: 16:15-17:45, Wed: 16:15-17:45],English,6
Statistics II,71,[Fri: 16:15-17:45, Wed: 18:00-19:30],English,6
Statistics II,72,[Fri: 09:00-10:30, Wed: 09:00-10:30],English,6
Statistics II,73,[Wed: 10:45-12:15, Fri: 09:00-10:30, Wed: 10:45-12:15],English,6
Statistics II,74,[Wed: 12:30-14:00, Fri: 09:00-10:30, Wed: 12:30-14:00],English,6
Statistics II,44,[Fri: 18:00-19:30, Mon: 18:00-19:30],English,6
Statistics II,45,[Fri: 18:00-19:30, Mon: 16:15-17:45],English,6
Game Theory,44,[Fri: 16:15-17:45, Mon: 16:15-17:45],English,6
Game Theory,45,[Fri: 16:15-17:45, Mon: 14:30-16:00],English,6
Financial Economics,44,[Fri: 14:30-16:00, Mon: 14:30-16:00],English,6
Financial Economics,45,[Fri: 14:30-16:00, Mon: 18:00-19:30],English,6
Marketing,70,[Fri: 10:45-12:15, Tue: 09:00-10:30],English,6
Marketing,71,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
Marketing,72,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Marketing,73,[Fri: 14:30-16:00, Tue: 16:15-17:45],English,6
Marketing,58,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Organizational Economics,70,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
Organizational Economics,71,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Organizational Economics,72,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Organizational Economics,73,[Fri: 16:15-17:45, Tue: 18:00-19:30],English,6
Organizational Economics,58,[Fri: 18:00-19:30, Tue: 18:00-19:30],English,6
Organizational Economics,44,[Fri: 18:00-19:30, Tue: 16:15-17:45],English,6
Strategic Management,70,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
Strategic Management,71,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Strategic Management,72,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Strategic Management,73,[Fri: 14:30-16:00, Tue: 18:00-19:30],English,6
Strategic Management,74,[Fri: 16:15-17:45, Tue: 18:00-19:30],English,6
Operations Management,70,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
Operations Management,71,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Operations Management,72,[Fri: 10:45-12:15, Tue: 09:00-10:30],English,6
Operations Management,73,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Operations Management,74,[Fri: 14:30-16:00, Tue: 16:15-17:45],English,6
Organizational Design,44,[Fri: 14:30-16:00, Tue: 18:00-19:30],English,6
International Trade,58,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
Sociology,49,[Fri: 12:30-14:00, Tue: 12:30-14:00],English,6
Comparative Politics I,49,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Media Theory,30,[Fri: 09:00-10:30, Fri: 12:30-14:00],English,6
Media Theory,35,[Fri: 09:00-10:30, Fri: 10:45-12:15],English,6
Introduction to communication and media studies,40,[Fri: 09:00-10:30, Fri: 12:30-14:00],English,6
Introduction to communication and media studies,45,[Fri: 09:00-10:30, Fri: 10:45-12:15],English,6
Spanish history: 20th century,50,[Tue: 09:00-10:30, Fri: 10:45-12:15],English,6
Fundamentals of film and television direction I,45,[Fri: 10:45-12:15, Fri: 12:30-14:00, Fri: 09:00-10:30],English,6
Film Production,40,[Mon: 16:15-17:45, Fri: 14:30-16:00],English,6
Film Production,45,[Fri: 14:30-16:00, Fri: 16:15-17:45],English,6
Film Production,50,[Fri: 14:30-16:00, Fri: 16:15-17:45],English,6
Fiction Videomaking,40,[Fri: 14:30-16:00, Fri: 16:15-17:45, Wed: 16:15-17:45, Wed: 18:00-19:30],English,6
Digital Post-production,40,[Tue: 14:30-16:00, Tue: 16:15-17:45, Fri: 16:15-17:45],English,6
Digital Post-production,45,[Wed: 16:15-17:45, Wed: 18:00-19:30, Fri: 18:00-19:30],English,6
Historical Foundations of the legal system,44,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Historical Foundations of the legal system,33,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
Introduction to business administration,60,[Fri: 18:00-19:30, Mon: 18:00-19:30],English,6
